N,p_m,p_c,trn_size,iteration,generation,best_fitness,avg_fitness
100,0.05,0.02,20,0,0,-122.48912940721924,-210.85495511250662
100,0.05,0.02,20,0,1,-92.8539444560216,-208.67191528341093
100,0.05,0.02,20,0,2,-125.88027898781785,-207.49612146860946
100,0.05,0.02,20,0,3,-132.04759208325729,-195.22898473710538
100,0.05,0.02,20,0,4,-136.61544808322665,-231.97277095836617
100,0.05,0.02,20,0,5,-64.52535300326414,-224.91263705021802
100,0.05,0.02,20,0,6,-111.84015371452148,-214.4491308973984
100,0.05,0.02,20,0,7,-76.87817782917155,-224.65598934954437
100,0.05,0.02,20,0,8,-186.62363799656123,-233.8454261986495
100,0.05,0.02,20,0,9,-108.96589587396122,-213.1416572362371
100,0.05,0.02,20,0,10,-128.70318264754368,-215.62675868730713
100,0.05,0.02,20,0,11,-128.70318264754368,-221.84869156064434
100,0.05,0.02,20,0,12,-122.43416490252568,-199.95074406060587
100,0.05,0.02,20,0,13,-168.3735464897913,-206.5979128191027
100,0.05,0.02,20,0,14,-124.01136216933077,-212.3653092055868
100,0.05,0.02,20,0,15,-137.53945729601884,-223.43731095567898
100,0.05,0.02,20,0,16,-131.23851208678758,-204.31265782940562
100,0.05,0.02,20,0,17,-136.61544808322665,-216.69661786157815
100,0.05,0.02,20,0,18,-201.01086828130937,-242.75803213166586
100,0.05,0.02,20,0,19,-129.3846820423443,-229.19386503072306
100,0.05,0.02,20,0,20,-126.8187996428785,-204.60401501423271
100,0.05,0.02,20,0,21,-159.4184646290256,-218.9248017855907
100,0.05,0.02,20,0,22,-126.8187996428785,-229.3450472628729
100,0.05,0.02,20,0,23,-133.10405388322278,-216.28987437986
100,0.05,0.02,20,0,24,-131.23851208678758,-227.0641455637252
100,0.05,0.02,20,0,25,-132.169905660283,-209.70785635616627
100,0.05,0.02,20,0,26,-127.75981574503821,-201.23550626963367
100,0.05,0.02,20,0,27,-129.3846820423443,-217.9333104580311
100,0.05,0.02,20,0,28,-132.169905660283,-243.46440620974536
100,0.05,0.02,20,0,29,-189.64876634922564,-236.79612368896545
100,0.05,0.02,20,0,30,-66.30375285612676,-222.30105330312625
100,0.05,0.02,20,0,31,-137.53945729601884,-234.34883639400294
100,0.05,0.02,20,0,32,-126.8187996428785,-201.01574024531016
100,0.05,0.02,20,0,33,-119.57105459856902,-202.38217347733823
100,0.05,0.02,20,0,34,-136.19691004531023,-210.73589904178232
100,0.05,0.02,20,0,35,-132.169905660283,-232.48679283188193
100,0.05,0.02,20,0,36,-80.5411901469428,-214.30348211188848
100,0.05,0.02,20,0,37,-142.01063709417264,-210.96525439513962
100,0.05,0.02,20,0,38,-161.89412298131649,-237.02874434267937
100,0.05,0.02,20,0,39,-65.31128874149275,-185.38300497021766
100,0.05,0.02,20,0,40,-178.54894437575342,-232.7729285531395
100,0.05,0.02,20,0,41,-127.75981574503821,-217.33553314832065
100,0.05,0.02,20,0,42,-96.09772228646443,-245.49884082380865
100,0.05,0.02,20,0,43,-137.53945729601884,-213.2069678596299
100,0.05,0.02,20,0,44,-129.3846820423443,-215.64502573992328
100,0.05,0.02,20,0,45,-187.47856705360772,-233.3391141813987
100,0.05,0.02,20,0,46,-108.01162633521314,-206.63939879494458
100,0.05,0.02,20,0,47,-135.69463863518345,-209.6688114226523
100,0.05,0.02,20,0,48,-137.53945729601884,-224.79987582581794
100,0.05,0.02,20,0,49,-143.84669896727925,-228.26578398525166
100,0.05,0.02,20,0,50,-166.42956348249515,-228.81071873455727
100,0.05,0.02,20,0,51,-125.88027898781785,-219.61826466210573
100,0.05,0.02,20,0,52,-160.08991914547278,-230.51183266942633
100,0.05,0.02,20,0,53,-127.75981574503821,-217.35903937262862
100,0.05,0.02,20,0,54,-94.14748010928824,-233.21430131749185
100,0.05,0.02,20,0,55,-68.28972164382672,-209.0199146335214
100,0.05,0.02,20,0,56,-162.80151512977633,-208.81720766605366
100,0.05,0.02,20,0,57,-127.75981574503821,-217.376719387823
100,0.05,0.02,20,0,58,-142.92702786528704,-228.6666225563266
100,0.05,0.02,20,0,59,-68.28972164382672,-224.05885178629305
100,0.05,0.02,20,0,60,-130.31004303683676,-207.22859509263316
100,0.05,0.02,20,0,61,-107.05948168962618,-194.58055520147406
100,0.05,0.02,20,0,62,-134.0407993409569,-223.02656736624482
100,0.05,0.02,20,0,63,-131.23851208678758,-228.84638208731315
100,0.05,0.02,20,0,64,-133.10405388322278,-218.68769932346848
100,0.05,0.02,20,0,65,-131.23851208678758,-193.51039933351092
100,0.05,0.02,20,0,66,-180.24937810560445,-232.41014220406709
100,0.05,0.02,20,0,67,-132.26812023536854,-224.13334043867016
100,0.05,0.02,20,0,68,-70.27692569068708,-227.06668541560828
100,0.05,0.02,20,0,69,-115.22167621838005,-226.28824817429089
100,0.05,0.02,20,0,70,-163.76474136094643,-228.79463380717698
100,0.05,0.02,20,0,71,-66.49657518178932,-202.23241381512685
100,0.05,0.02,20,0,72,-63.54101966249684,-209.15040901809982
100,0.05,0.02,20,0,73,9.1690481051547,-195.04940559577037
100,0.05,0.02,20,0,74,-131.23851208678758,-205.07782914741904
100,0.05,0.02,20,0,75,-127.75981574503821,-235.9376229740294
100,0.05,0.02,20,0,76,-132.169905660283,-240.09983622934877
100,0.05,0.02,20,0,77,-133.10405388322278,-225.8034572178249
100,0.05,0.02,20,0,78,-126.8187996428785,-212.58889732499873
100,0.05,0.02,20,0,79,-137.53945729601884,-228.67946606890317
100,0.05,0.02,20,0,80,-198.41487374764083,-224.44911979759118
100,0.05,0.02,20,0,81,-181.97114584074512,-221.7747562709549
100,0.05,0.02,20,0,82,-87.95346318982905,-197.34545797004102
100,0.05,0.02,20,0,83,-137.53945729601884,-214.45845521725164
100,0.05,0.02,20,0,84,-195.21951811795887,-251.9900877198021
100,0.05,0.02,20,0,85,-128.70318264754368,-231.11649800590567
100,0.05,0.02,20,0,86,-183.71219600798315,-221.22849722159563
100,0.05,0.02,20,0,87,-130.30696746902277,-192.6606534822421
100,0.05,0.02,20,0,88,-119.57105459856902,-210.2010020714257
100,0.05,0.02,20,0,89,-138.46648326421052,-222.96913789754436
100,0.05,0.02,20,0,90,7.384226894136091,-188.23917891279802
100,0.05,0.02,20,0,91,-132.169905660283,-225.23853166907494
